Company Name,Year,Months,Total income,Total liabilities,Total assets,Profit after tax,Total expenses,Indirect taxes,Rent & lease rent,Sales,Income from financial services,Other income
A C L Components Ltd. [Merged],31-03-2022,12,0.3,6.3,6.3,0.2,0.1,,,,0.3,
A C M L Capital Markets Ltd.,31-03-2023,12,93.5,970.6,970.6,28.9,64.6,,0.9,,93.1,0.4
A C N Financial Services Ltd.,31-03-2023,12,0.6,71,71,-0.7,1.3,,0.2,,0.6,
A C Nielsen Mktg. Research India Pvt. Ltd. [Merged],31-03-2011,12,,125.6,125.6,-0.1,0.1,,,,,
A C T Fininvest Ltd.,31-03-2021,12,69.3,3911.6,3911.6,-96.5,165.8,,,,68.2,
A E G India Ltd.,31-12-2007,12,10.5,133,133,-23.3,33.8,,0.5,,9.7,
A F C India Ltd.,31-03-2024,12,659.3,1636.1,1636.1,3.1,656.2,,7,637.9,20,
A F C O Industrial & Chemicals Ltd.,31-03-2022,12,,13.2,13.2,-3.8,3.8,0.1,,,,
A G L Industries Ltd.,31-03-2024,12,2.7,35.5,35.5,-3.3,4.2,,,,2.7,
A G R Investments Ltd.,31-03-2023,12,0.6,27.5,27.5,0.1,0.5,0.1,,,0.6,
A H A Holdings Pvt. Ltd.,31-03-2019,12,81.3,2715.7,2715.7,-68.2,149.5,,0.7,,81,
A I Assets Holding Ltd.,31-03-2023,12,12262.5,156077.2,156077.2,-5512.2,17774.7,0.1,97,1568.7,5456.6,4273.2
A J R Infra & Tolling Ltd.,31-03-2024,12,202.2,15880.4,15880.4,-2408.7,2610.9,0.7,0.2,,199.7,2.1
A K Capital Corpn. Pvt. Ltd.,31-03-2023,12,2.4,28.2,28.2,1.7,0.7,,,,2.4,
A K Capital Finance Ltd.,31-03-2024,12,3142.4,28678.9,28678.9,630.7,2511.7,,6.7,,3136.8,
A K Capital Markets Ltd.,31-03-2022,12,,18.3,18.3,,,,,,,
A K Capital Services Ltd.,31-03-2024,12,1277.3,11877,11877,318,959.3,,5.1,23.3,1252.7,0.1
A K G Securities & Consultancy Ltd.,31-03-2023,12,107.4,397.7,397.7,24.1,83.3,6.7,0.1,59.7,29.4,18.3
A K J Fincap Ltd.,31-03-2023,12,,224.3,224.3,-3.2,3.2,,0.8,,,
A K J Securities Pvt. Ltd.,31-03-2022,12,2.7,21.5,21.5,-1,3.7,,,,2.7,
A K R Construction Ltd.,31-03-2022,12,4.2,1657.3,1657.3,-26.5,30.7,,,,4.2,
A K S Credits Ltd.,31-03-2023,12,8.7,118.7,118.7,0.6,8.1,,0.1,,8.7,
A K S Financial Services Ltd.,31-03-2012,12,,5.6,5.6,,,,,,,
A K S International Ltd.,31-03-2023,12,11.7,360.7,360.7,0.5,11.2,,,,11.6,
A K S Properties Ltd.,31-03-2022,12,,111.1,111.1,-0.1,0.1,,,,,
A K Stockmart Pvt. Ltd.,31-03-2023,12,411.6,987.5,987.5,31.5,380.1,,10.2,,411.4,
A K V Textiles Ltd.,31-03-2023,12,,71.5,71.5,-0.1,0.1,0.1,,,,
A K Wealth Management Pvt. Ltd.,31-03-2023,12,37.7,66.4,66.4,8.3,29.4,,0.2,,37.5,
A L B Leasing & Finance Ltd. [Merged],31-03-2010,12,1.5,24.2,24.2,0,1.5,,,,1.5,
A L F Insurance Services Pvt. Ltd.,31-03-2011,12,0.5,7,7,0.3,0.2,,,,0.4,
A M A V Enterprises Pvt. Ltd.,31-03-2012,12,,134.5,134.5,,,,,,,
A M S I L Enterprises Ltd.,31-03-2023,12,,228.5,228.5,-0.3,0.3,,,,,
A N G Commodities Pvt. Ltd.,31-03-2014,12,19.1,71.5,71.5,0.3,18.8,,0.8,,19.1,
A N R Investments Ltd. [Merged],31-03-2011,12,3.4,76.3,76.3,1.5,1.9,,,,3.4,
A N R Securities Pvt. Ltd.,31-03-2020,12,,16542.1,16542.1,-2879.7,2879.7,,,,,
A N Z Capital Pvt. Ltd.,31-03-2019,12,8.2,69.8,69.8,4,4.2,,,,,8.2
A O L Online India Pvt. Ltd. [Merged],31-03-2019,12,21.5,1162.1,1162.1,13.8,7.7,0.9,,,,21.5
A O V Forex Pvt. Ltd.,31-03-2023,12,39,276.3,276.3,18.5,20.5,,0.9,0.9,14.2,
A P D Properties Ltd.,31-03-2020,12,2.5,91.7,91.7,1.6,0.6,0.1,,,2.2,0.3
A P Finance Ltd.,31-03-2009,12,0.2,3.2,3.2,0,0.2,,,,0.2,
A P G Capital Markets Ltd.,31-03-2023,12,5.1,166.8,166.8,4,1.1,0.1,,,5.1,
A P J R Investment & Real Estate Pvt. Ltd.,31-10-1999,7,,19.4,19.4,-0.2,0.2,,,,,
A P M Investments Ltd. [Merged],31-03-2014,12,0.6,13.3,13.3,0.1,0.5,,,,0.6,
A P Mahesh Co-Operative Urban Bank Ltd.,31-03-2008,12,672.4,6488.4,6488.4,86.3,586.1,,17.3,,655.9,9
A P Udyog Ltd.,31-03-2022,12,,39.4,39.4,-0.1,0.1,,,,,
A R C Finance Ltd.,31-03-2024,12,30.8,715.1,715.1,2.7,28.1,,0.2,,30.7,
A R E Entertainment Ltd.,31-03-2022,12,,1,1,,,,,,,
A R G Autosystems Ltd.,31-03-2013,12,1.4,42.3,42.3,0.7,0.7,,,0.5,0.9,
A R I Consolidated Invsts. Pvt. Ltd.,31-03-2023,12,69,362.6,362.6,36,33,0.4,,13.8,55.2,
A R J Shares & Stock Brokers Pvt. Ltd.,31-03-2023,12,5.5,150.4,150.4,-2.4,7.9,,0.6,,5.5,
A S A International India Microfinance Ltd.,31-03-2022,12,2532.9,7290.6,7290.6,-1326.3,3859.2,11.7,49.5,,2029.1,6.4
A S E Capital Market Devp. Board,31-03-2022,12,0.3,24.1,24.1,0.2,0.1,,,,0.3,
A S E L Financial Services Ltd.,31-03-2023,12,46.3,951.7,951.7,20.8,25.5,0.9,,6.1,40.1,0.1
A S K Financial Services Ltd.,31-03-2012,12,0.3,21.3,21.3,-2.1,2.4,,,,0.3,
A S K Financial Services Pvt. Ltd.,31-03-2000,12,14.4,75.7,75.7,3,11.4,,0.1,,14.4,
A S K Resources India Pvt. Ltd.,31-03-2023,12,1.3,216.5,216.5,0.2,1.1,,,,1.3,
A S L Industries Ltd.,31-03-2023,12,26.1,352.9,352.9,16.3,9.8,0.2,0.3,,25.9,
A T C Aviation Services Pvt. Ltd.,31-03-2022,12,5.4,65.3,65.3,3.4,2,,,2.3,3.1,
A T E Pvt. Ltd.,31-03-2023,12,70.2,1038.5,1038.5,30.5,39.7,1.3,1.9,31.1,39.1,
A T F Aishwarya Finance Ltd.,31-03-2007,12,3.6,36.1,36.1,0.8,2.8,,0.1,,3.6,
A T L Textile Processors Ltd.,31-03-2023,12,,52.3,52.3,,,,,,,
A T R Infrastructure Pvt. Ltd.,31-03-2023,12,123.5,2001.8,2001.8,-45.4,168.9,1,,,123.5,
A T S Heights Pvt. Ltd.,31-03-2024,12,0.4,35840.6,35840.6,-52.8,53.2,,,,0.4,
A To Z Securities Ltd.,31-03-2023,12,18,324.8,324.8,12.2,5.8,,,0.4,17.6,
A Treds Ltd.,31-03-2024,12,560.5,558.5,558.5,178.1,382.4,,8.8,,559.3,0.4
A U Small Finance Bank Ltd.,31-03-2024,12,124018.2,1095581.2,1095581.2,15347.2,108671,,2049.4,,122291,729.1
A V B Finance Pvt. Ltd.,31-03-2023,12,1.6,37.5,37.5,0.7,0.9,,,,1.6,
A V S Finlease Ltd.,31-03-2023,12,1,309.9,309.9,-0.1,1.1,,,,1,
A V Thomas Investments Co. Ltd.,31-03-2023,12,1,61.3,61.3,0.6,0.4,,,,1,
A W B India Pvt. Ltd.,31-03-2023,12,13.3,45.4,45.4,5.6,7.7,,,3.1,8.6,
A Y E Finance Pvt. Ltd.,31-03-2023,12,6433.4,31934.9,31934.9,537.9,5895.5,12.2,0.8,,6234.3,199.1
Aa Ess Tradelinks Pvt. Ltd. [Merged],31-03-2022,12,3.5,1324.2,1324.2,-9.9,13.4,,,,3.5,
Aadhaar Ventures India Ltd.,31-03-2024,12,1.8,3670.1,3670.1,-17.1,18.9,0.2,0.2,,,1.8
Aadhar Financial Services Ltd.,31-03-2023,12,66.6,773.1,773.1,45.6,21,0.1,0.8,3.7,62.9,
Aadhar Housing Finance Ltd.,31-03-2024,12,25362.4,193540.1,193540.1,7485.1,17877.3,239.6,88.5,0.2,25235.3,0.4
Aadhar Housing Finance Ltd. [Merged],31-03-2017,12,3572.2,31694.8,31694.8,407.7,3164.5,16,41,,3565.2,
Aadidev Investment & Finance Ltd.,31-03-2023,12,21.6,286.1,286.1,15.2,6.4,0.5,0.5,2.8,18.8,
Aagam Agencies Pvt. Ltd.,31-03-2023,12,59.5,719.5,719.5,51.3,8.2,,,2.5,56.6,0.4
Aagam Capital Ltd.,31-03-2024,12,0.4,19.8,19.8,-1.1,1.5,,0.1,,0.4,
Aagam Holdings Pvt. Ltd.,31-03-2023,12,276.6,3767.6,3767.6,202.7,73.9,,,,273.3,0.2
Aakar Leasing & Financial Services Ltd.,31-03-2022,12,,10.1,10.1,,,,,,,
Aakar Processors Pvt. Ltd.,31-03-2023,12,4.5,50.1,50.1,1.9,2.6,0.1,,1.7,2.8,
Aakarshak Synthetics Ltd.,31-03-2023,12,0.3,45.9,45.9,-2.9,3.2,,,,,
Aakashganga Realty Pvt. Ltd. [Merged],31-03-2019,12,,131.3,131.3,-0.6,0.6,0.1,,,,
Aakruti Investment Pvt. Ltd.,31-03-2012,12,2.2,36.2,36.2,-1.7,3.9,,0.2,,2.2,
Aaloka Real Estate Pvt. Ltd.,31-03-2023,12,0.6,340.8,340.8,0,0.6,,,,,
Aamby Valley City Ltd.,31-03-2021,12,4807.8,591682.8,591682.8,705.7,4102.1,44.4,8.6,674.5,3814.2,
Aanchal Consultancy Services Pvt. Ltd.,31-03-2022,12,1,17.3,17.3,0.6,0.4,,0.1,,1,
Aar Kay Steel Products Pvt. Ltd.,31-03-2023,12,0.1,15.2,15.2,-0.1,0.2,,,0.1,,
Aar Shyam (India) Invst. Co. Ltd.,31-03-2024,12,2.8,41.2,41.2,-3.8,6.6,0.1,0.4,,2.7,
Aaradhana Realties Ltd.,31-03-2022,12,117.8,211.4,211.4,-29.6,147.4,0.1,,,,6.4
Aarm Finser India Ltd.,31-03-2010,12,,133.7,133.7,-0.2,0.2,,,,,
Aarnik Securities Pvt. Ltd.,31-03-2016,12,5.3,76.3,76.3,0.3,5,,0.3,,5.3,
Aarsree Agra Ltd. [Merged],31-03-2011,12,3,58.1,58.1,1.9,1.1,,,,3,
Aarti Pandit Family Pvt. Ltd.,31-03-2011,12,,119.9,119.9,-0.1,0.1,0.1,,,,
Aarya Global Shares & Securities Ltd.,31-03-2017,12,6.2,315.3,315.3,1.5,4.7,,0.4,,6.2,
Aas Commercial Pvt. Ltd.,31-03-2022,12,9.5,43.8,43.8,9.1,0.4,,0.1,,9.5,
Aasheesh Securities Ltd.,31-03-2022,12,,3,3,,,,,,,
Aashrit Capital Ltd.,31-03-2024,12,51.4,1850.2,1850.2,24.4,27,,7.2,,51.3,
Aask Krishi Udyog Pvt. Ltd.,31-03-2011,12,,6.3,6.3,,,,,,,
Aastamangalam Finance Ltd.,31-03-2024,12,70.3,805.6,805.6,36,34.3,,0.3,,70.3,
Aatash Dredging & Consructions Pvt. Ltd.,31-03-2008,11,2.1,185.8,185.8,-1.3,5.4,,,,2.1,
Aavali Housing & Infrastructure Pvt. Ltd.,31-03-2008,12,0.7,6.3,6.3,0.4,0.3,0.1,,,0.7,
Aavaran Ltd. [Merged],31-03-2009,12,1.2,12.1,12.1,1.1,0.1,,,,1.2,
Aavaran Textiles Pvt. Ltd. [Merged],31-03-2009,12,283.5,8828.6,8828.6,263.7,19.8,,,,283.4,
Aavas Financiers Ltd.,31-03-2024,12,20203.1,166320.1,166320.1,4906.9,15296.2,,28.8,,20175.1,24.9
Aavas Infrastructure & Gruh Finance Ltd.,31-03-2023,12,5.2,91,91,0.4,4.8,0.1,,0.3,4.9,
Aayushi Credit & Capital Services Ltd.,31-03-2023,12,4.2,14.7,14.7,4.1,0.1,,,,4.2,
Aban Investments Pvt. Ltd.,31-03-2023,12,2.7,281.7,281.7,-17.5,20.2,,,,,2.7
Aban Ventures Pvt. Ltd.,31-03-2023,12,1.9,232.6,232.6,1.4,0.5,,,,1.9,
Abans Finance Pvt. Ltd.,31-03-2024,12,875,11167.6,11167.6,143.5,731.5,0.1,0.9,4,871,
Abans Securities Pvt. Ltd.,31-03-2023,12,111.9,1277.1,1277.1,23.3,88.6,0.8,1.7,,111.9,
Abellon Agrisciences Ltd.,31-03-2023,12,0.3,599.6,599.6,-16.6,16.9,,,,0.3,
Abellon Co-Gen Ltd.,31-03-2023,12,2.3,138.4,138.4,-157,159.3,,,,1,1.3
Abha Property Project Ltd.,31-03-2023,12,11.9,754.6,754.6,8.5,3.4,,,,11.9,
Abhaas Construction Pvt. Ltd.,31-03-2023,12,40.4,139.7,139.7,40.4,,,,,0.1,40.3
Abhayam Trading Ltd.,31-03-2017,12,731.8,342.5,342.5,-3,734.8,,0.1,,,
Abhi Ambi Financial Services Ltd.,31-03-2023,12,,118.5,118.5,-0.1,0.1,,,,,
Abhijay Developers Pvt. Ltd.,31-03-2022,12,,169.2,169.2,-0.1,0.1,,,,,
Abhijeet Cement Ltd.,31-03-2010,12,0.3,722.6,722.6,0.2,0.1,,,,0.3,
Abhijeet Infrastructure Ltd.,31-03-2016,12,12.9,7696,7696,-619.9,632.8,,,,12.9,
Abhijeet Integrated Steel Ltd.,31-03-2017,12,0.8,3476.9,3476.9,-313.6,314.4,,,,0.8,
Abhijeet Mining Ltd.,31-03-2010,12,32.1,2939.2,2939.2,0.3,31.8,,,,32.1,
Abhijeet Ventures Ltd.,31-03-2014,12,1.2,42179.5,42179.5,0.5,0.7,,,,1.2,
Abhijit Trading Co. Ltd.,31-03-2024,12,8.1,8235.9,8235.9,0.3,7.8,1,0.1,,8.1,
Abhikaran India Enterprises Ltd.,31-03-2022,12,,0.4,0.4,-0.1,0.1,,,,,
Abhinandan Enterprises Ltd.,31-03-2024,12,0.5,12.6,12.6,-0.1,0.6,,,,0.5,
Abhinandan Leasing & Finance Pvt. Ltd.,31-03-2023,12,324.6,1145.4,1145.4,239.9,84.7,,0.5,19.9,,304.7
Abhinandan Stock Broking Pvt. Ltd.,31-03-2023,12,3468.6,516.3,516.3,9.1,3397.1,,,3455.7,,12.9
Abhinandan Tradex Ltd.,31-03-2023,12,0.7,247.8,247.8,0.4,0.3,,,,0.7,
Abhinav Capital Services Ltd.,31-03-2024,12,153.1,1247.9,1247.9,92.6,60.5,,0.7,,153,
Abhinav Leasing & Finance Ltd.,31-03-2024,12,30.6,447.1,447.1,2.6,28,0.1,,,29.3,0.2
Abhisheik Portfolio Mgmt. Ltd.,31-03-2023,12,4.7,44.4,44.4,0.4,4.3,,,0.4,4.2,0.1
Abhishek Carpets & Felts Ltd.,31-03-2022,12,0.5,27.8,27.8,0.3,0.2,,,,0.5,
Abhishek Finance Co. Ltd.,31-03-2022,12,5,86.1,86.1,2.3,2.7,,,,5,
Abhishek Finlease Ltd.,31-03-2024,12,6.1,48,48,2.1,4,,,,6.1,
Abhyadoot Finance & Invsts. Pvt. Ltd.,31-03-2023,12,1,22.7,22.7,-2,3,,,,1,
Abhyudaya Agrotech Ltd. [Merged],31-03-2000,12,0.6,7.4,7.4,-1.2,1.8,,,,0.6,
Abhyudaya Co-Op. Bank Ltd.,31-03-2021,12,10030.6,132790.3,132790.3,189.3,9841.3,,459.2,,9980.4,16.3
Abhyudya Trading Ltd.,31-03-2022,12,,112.1,112.1,,,,,,,
Abir Hydro Power Pvt. Ltd.,31-03-2023,12,,7151.6,7151.6,,,,,,,
Abira Commotrade Ltd.,31-03-2022,12,0.3,7.8,7.8,0.2,0.1,,,,0.3,
Abira Securities Ltd.,31-03-2011,12,2,44.8,44.8,1.4,0.6,,,,2,
Abirami Amman Designs Pvt. Ltd.,31-03-2022,12,0.1,0.9,0.9,0,0.1,,,,0.1,
Abirami Financial Services (India) Ltd.,31-03-2024,12,24.9,210.4,210.4,14.5,10.4,1.1,0.3,,,18.3
Ablaze Buildcon Pvt. Ltd.,31-03-2023,12,2,12.1,12.1,-4.9,0.8,,,2,,
Abode Construction Ltd.,31-03-2023,12,11,415.7,415.7,7.4,3.6,0.4,,,11,
Abrepose Financial & Technical Services Ltd.,31-03-2023,12,5.7,36.5,36.5,1.2,4.5,,0.1,,5.5,
Abu Dhabi Commercial Bank Ltd.,31-03-2019,12,2143,28133.8,28133.8,-56.9,2199.9,,33.7,,2043.2,0.3
Acalta Trading Co. Ltd.,31-03-2022,12,0.5,20.8,20.8,-0.9,1.4,,,,,0.5
Accel Ltd. [Merged],31-03-2017,12,29,577,577,7.5,21.5,0.5,0.2,11.5,17.5,
Accel O E M Appliances Ltd.,31-03-2022,12,4.6,6.1,6.1,0.6,4,,,,0.2,
Accelaris Technologies Ltd. [Merged],31-03-2012,12,,200,200,-38.8,38.8,,,,,
Accenture India Pvt. Ltd.,31-08-2004,12,1017.4,481.9,481.9,-84.3,1101.7,,30.8,791.4,5.9,220
Access Suites Pvt. Ltd.,31-03-2020,12,0.1,9.1,9.1,-1.3,1.4,,,,0.1,
Accord Capital Markets Pvt. Ltd.,31-03-2023,12,24,149,149,-14.8,38.8,0.1,0.3,10.9,,12
Accord Healthcare Ltd.,31-03-2022,12,31.8,931.9,931.9,23.6,8.2,,,,30.9,0.9
Accord Tracon Pvt. Ltd.,31-03-2023,12,,740,740,-0.2,0.2,,,,,
Accounts Receivables Management Services (India) Pvt. Ltd.,31-03-2023,12,4.7,498.1,498.1,0,4.7,,0.2,,4.2,
Accurate Exports Ltd.,31-03-2000,12,0.8,78.8,78.8,,0.8,,,,0.8,
Accurate Finance & Leasing Ltd.,31-03-2005,12,,0.6,0.6,,,,,,,
Accurate Foods & Beverages Pvt. Ltd.,31-03-2023,12,157.5,10247.9,10247.9,-8,165.5,,,,156.4,
Accuvant Advisory Services Ltd.,31-03-2024,12,5.3,88.9,88.9,2.7,2.6,,,1.3,4,
Ace Flora Tech Pvt. Ltd.,31-03-2012,12,0.9,25.5,25.5,0,0.9,,,,0.9,
Ace Infoworld Pvt. Ltd.,31-03-2023,12,0.9,43.7,43.7,0.5,0.4,,,0.1,0.5,
Ace Insurance Brokers Pvt. Ltd.,31-03-2022,12,1595,3080.5,3080.5,877.8,717.2,0.6,12.4,,1594.4,
Ace Investment Services (India) Pvt. Ltd.,31-03-2022,12,20.5,264.4,264.4,12,8.5,0.4,0.4,,16.7,3.7
Achal Finance Ltd.,31-03-2011,12,3.9,40.3,40.3,0.8,3.1,,,,3.9,
Achal Investments Ltd.,31-03-2021,12,2.6,143.4,143.4,-0.1,2.7,,,,,2.6
Achiievers Finance India Pvt. Ltd.,31-03-2024,12,147.3,706.5,706.5,15.4,131.9,3.4,5.7,,147.3,
Achintya Securities Pvt. Ltd.,31-03-2023,12,7553.8,3199.2,3199.2,732.3,6821.5,,5.2,,7553.7,0.1
Acme Chem Ltd.,31-03-2023,12,288.1,2544.8,2544.8,118.1,170,0.3,,134.3,153.8,
Acme Cleantech Infraventure Ltd. [Merged],31-03-2022,12,1.2,712.6,712.6,-37.3,38.5,,,,,
Acme Investments Ltd.,31-03-2011,12,2.9,27.3,27.3,0,2.9,,,,2.9,
Acme Resources Ltd.,31-03-2024,12,70.6,1129.2,1129.2,-1.3,64,0.7,,1.1,69.5,
Acorn Engineering Ltd. [Merged],31-03-2021,12,,0.9,0.9,,,,,,,
Acrastyle Switchgear Ltd.,30-09-2006,12,,512.2,512.2,-6,6,,,,,
Acrow India Ltd.,31-03-2024,12,28,238.4,238.4,10.2,17.8,14.8,,6.8,16.4,
Action Commodities Ltd.,31-03-2019,12,0.3,8.2,8.2,0.5,-0.2,,,,0.3,
Action Financial Services (India) Ltd.,31-03-2019,12,45.9,383.4,383.4,1.9,44,,3.9,0.4,43.6,0.7
Action Securities Ltd.,31-03-2019,12,,0.2,0.2,,,,,,,
Actis Advisers Pvt. Ltd.,31-03-2023,12,862.5,561.7,561.7,119.9,742.6,2.1,41.5,855,7.5,
Acuitas Capital Advisors Pvt. Ltd.,31-03-2023,12,51.6,28.5,28.5,0.8,50.8,,3.1,50.5,0.1,
